ID,Tweet_ID,Isi_Tweet,Tanggal_Tweet,Kandidat,Aplikasi,Lokasi User,Sentimen
133343972,patih_patria,@FahrelStv Gak setuju Jokowi jadi Cawapres.. CAPRES JOKOWI harga mati...,8/1/2013 0:33,Jokowi,web,BLITAR - INDONESIA,1
921720487,RintisBautista,"capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !",8/1/2013 4:11,Jokowi,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Android</a>",Didalam hatinya recha  :love,1
-2120434840,JokowiPres,"RT @RintisBautista: capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !",8/1/2013 4:32,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1
-116006035,Franliiiii,capres ( Prabowo ) and cawapres ( jokowi ) and gubDKI (Ahok) mantap lanjutkan !!! buat pak presiden (SBY) bubarkan saja FPI,8/1/2013 7:33,Prabowo,web,Manado,1
-906300614,JokowiPres,RT @Franliiiii: capres ( Prabowo ) and cawapres ( jokowi ) and gubDKI (Ahok) mantap lanjutkan !!! buat pak presiden (SBY) bubarkan saja FPI,8/1/2013 7:36,Prabowo,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1
-1035835265,sabotase_dunia,"jd skenarionya gini. 2014 biar Prabowo jd presiden, Jokowi tetepgubernur. kalo Jakarta berhasil gak usah nunggu 2019 buat gantiin Prabowo",8/1/2013 9:16,Jokowi,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",Jakarta the Garden City,1
-494262702,gusti_primus,"SBY mantan TNI, dan Calon Presiden Prabowo subianto adalah Mantan KOPASSUS.. Krn anggoto TNI disiplin.. Maka dari itu, smw presiden TEGAS!!!",8/1/2013 10:50,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Indonesia,1
-1509470293,Its_Daviid,"@Prabowo08 mohon untuk pak Presiden Prabowo Subiyanto, tolong jangan jadikan kami ""Perangkat Desa"" sebagai tumbal kebijakan pemerintah.",8/1/2013 11:48,Prabowo,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Klaten,Jawa tengah",-1
776853354,marail_zutsyi,"RT @gusti_primus: SBY mantan TNI, dan Calon Presiden Prabowo subianto adalah Mantan KOPASSUS.. Krn anggoto TNI disiplin.. Maka dari itu, sm ",8/1/2013 11:53,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Palembang,South Sumatra",1
-1288633949,lukmantalibo,Saat jd Meneg BUMN Dahlan Iskan bs sedikit ambil bag dlm kep strategis PLN. Saat jd presiden Jokowi bs jg melakukan hal yg sm utk Jakarta,8/1/2013 15:33,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Andromeda,1
-1802779419,TrioMelayu9999,5. jadi capres  (Jokowi) maupun DPD bisa menggunakan cara tersebut untuk mendapatkan FotoCopy KTP dukungan @TrioMacan2000,8/1/2013 15:38,Jokowi,web,Jakarta,1
-497444784,adhiet_youdie,RT @TrioMelayu9999: 5. jadi capres  (Jokowi) maupun DPD bisa menggunakan cara tersebut untuk mendapatkan FotoCopy KTP dukungan @TrioMacan20 ,8/1/2013 15:50,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Tak kemana2 tapi ada dimana2,1
41175423,IndoBerkicau,"RT @danholic: Logikanya, kalo kandidat capres ARB dan Wiranto yg maju 2014. Sosok Jokowi lebih tepat buat RI 1 dr mereka berdua :)",8/1/2013 16:19,Aburizal,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Apa kata mereka?,0
-912539188,muthma_indra,"Pagi pak capres @jokowi_do2, cari lagi Masalah hari ini dan tuntaskan segera! :D",8/1/2013 23:12,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Lubuk Pakam,1
-2019893968,HarriesSieregar,"@mohmahfudmd Setuju Pak, cuma capres jk terpilih harus tunduk pd keinginan rakyat bukan pd keinginan DPR, Ketum/Elit partai. @alrodzi",8/1/2013 23:22,JK,web,Ada dipelupuk Matamu,0
