Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_bi_neg,2,0.01,0.01,0.3931885537105604
sentimen_bi_neg,2,0.01,0.31,0.3931885537105604
sentimen_bi_neg,2,0.01,0.61,0.36796833003553125
sentimen_bi_neg,2,0.01,0.9099999999999999,0.40448078906703233
sentimen_bi_neg,2,0.01,symmetric,0.36796833003553125
sentimen_bi_neg,2,0.31,0.01,0.3931885537105604
sentimen_bi_neg,2,0.31,0.31,0.39318855371056044
sentimen_bi_neg,2,0.31,0.61,0.39318855371056044
sentimen_bi_neg,2,0.31,0.9099999999999999,0.36796833003553125
sentimen_bi_neg,2,0.31,symmetric,0.39318855371056044
sentimen_bi_neg,2,0.61,0.01,0.3679683300355312
sentimen_bi_neg,2,0.61,0.31,0.3679683300355312
sentimen_bi_neg,2,0.61,0.61,0.3679683300355312
sentimen_bi_neg,2,0.61,0.9099999999999999,0.40448078906703233
sentimen_bi_neg,2,0.61,symmetric,0.3679683300355312
sentimen_bi_neg,2,0.9099999999999999,0.01,0.3679683300355312
sentimen_bi_neg,2,0.9099999999999999,0.31,0.3679683300355312
sentimen_bi_neg,2,0.9099999999999999,0.61,0.40711896100530237
sentimen_bi_neg,2,0.9099999999999999,0.9099999999999999,0.4071189610053023
sentimen_bi_neg,2,0.9099999999999999,symmetric,0.40711896100530237
sentimen_bi_neg,2,symmetric,0.01,0.3679683300355312
sentimen_bi_neg,2,symmetric,0.31,0.36796833003553125
sentimen_bi_neg,2,symmetric,0.61,0.3679683300355312
sentimen_bi_neg,2,symmetric,0.9099999999999999,0.3679683300355312
sentimen_bi_neg,2,symmetric,symmetric,0.3679683300355312
sentimen_bi_neg,2,asymmetric,0.01,0.3908295892790057
sentimen_bi_neg,2,asymmetric,0.31,0.4062801645245615
sentimen_bi_neg,2,asymmetric,0.61,0.4062801645245615
sentimen_bi_neg,2,asymmetric,0.9099999999999999,0.4062801645245615
sentimen_bi_neg,2,asymmetric,symmetric,0.4062801645245615
sentimen_bi_neg,3,0.01,0.01,0.34436995536452747
sentimen_bi_neg,3,0.01,0.31,0.36367402646172925
sentimen_bi_neg,3,0.01,0.61,0.3518357839906592
sentimen_bi_neg,3,0.01,0.9099999999999999,0.3518357839906592
