Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_bi_net,2,0.01,0.01,0.4900062805890087
sentimen_bi_net,2,0.01,0.31,0.5313708571969824
sentimen_bi_net,2,0.01,0.61,0.5255338451522713
sentimen_bi_net,2,0.01,0.9099999999999999,0.5053451480512147
sentimen_bi_net,2,0.01,symmetric,0.3327878265847436
sentimen_bi_net,2,0.31,0.01,0.5462494344312958
sentimen_bi_net,2,0.31,0.31,0.5173408941169602
sentimen_bi_net,2,0.31,0.61,0.5347384119212623
sentimen_bi_net,2,0.31,0.9099999999999999,0.5173408941169602
sentimen_bi_net,2,0.31,symmetric,0.51734089411696
sentimen_bi_net,2,0.61,0.01,0.4621294614818309
sentimen_bi_net,2,0.61,0.31,0.5383225040097696
sentimen_bi_net,2,0.61,0.61,0.5209205207989177
sentimen_bi_net,2,0.61,0.9099999999999999,0.5155473618420852
sentimen_bi_net,2,0.61,symmetric,0.5171765009586415
sentimen_bi_net,2,0.9099999999999999,0.01,0.43381775583705384
sentimen_bi_net,2,0.9099999999999999,0.31,0.5155473618420852
sentimen_bi_net,2,0.9099999999999999,0.61,0.5155473618420852
sentimen_bi_net,2,0.9099999999999999,0.9099999999999999,0.5155473618420852
sentimen_bi_net,2,0.9099999999999999,symmetric,0.5155473618420852
sentimen_bi_net,2,symmetric,0.01,0.4621294614818309
sentimen_bi_net,2,symmetric,0.31,0.5299169805223667
sentimen_bi_net,2,symmetric,0.61,0.5209205207989177
sentimen_bi_net,2,symmetric,0.9099999999999999,0.5383225040097696
sentimen_bi_net,2,symmetric,symmetric,0.5209205207989177
sentimen_bi_net,2,asymmetric,0.01,0.4758164680438324
sentimen_bi_net,2,asymmetric,0.31,0.5133337690290246
sentimen_bi_net,2,asymmetric,0.61,0.5307210930245636
sentimen_bi_net,2,asymmetric,0.9099999999999999,0.5119494001232846
sentimen_bi_net,2,asymmetric,symmetric,0.5307210930245636
sentimen_bi_net,3,0.01,0.01,0.5312810597292645
sentimen_bi_net,3,0.01,0.31,0.4983988921035282
sentimen_bi_net,3,0.01,0.61,0.4999409701806236
sentimen_bi_net,3,0.01,0.9099999999999999,0.48513507541765816
sentimen_bi_net,3,0.01,symmetric,0.5240144903958948
sentimen_bi_net,3,0.31,0.01,0.5426127388400102
sentimen_bi_net,3,0.31,0.31,0.4711679255508652
sentimen_bi_net,3,0.31,0.61,0.5358569713829073
sentimen_bi_net,3,0.31,0.9099999999999999,0.5243170424887412
sentimen_bi_net,3,0.31,symmetric,0.5327637328453271
sentimen_bi_net,3,0.61,0.01,0.5124641056145848
sentimen_bi_net,3,0.61,0.31,0.5115466774882501
sentimen_bi_net,3,0.61,0.61,0.5087119377811395
sentimen_bi_net,3,0.61,0.9099999999999999,0.4974031141995232
sentimen_bi_net,3,0.61,symmetric,0.5033407221025312
sentimen_bi_net,3,0.9099999999999999,0.01,0.47987902963523416
sentimen_bi_net,3,0.9099999999999999,0.31,0.5394717796426169
sentimen_bi_net,3,0.9099999999999999,0.61,0.529824643876779
sentimen_bi_net,3,0.9099999999999999,0.9099999999999999,0.528119282393073
sentimen_bi_net,3,0.9099999999999999,symmetric,0.5116604408624724
sentimen_bi_net,3,symmetric,0.01,0.5454171334632193
sentimen_bi_net,3,symmetric,0.31,0.531219462236772
sentimen_bi_net,3,symmetric,0.61,0.5395007639759076
sentimen_bi_net,3,symmetric,0.9099999999999999,0.5023594778768966
sentimen_bi_net,3,symmetric,symmetric,0.531219462236772
sentimen_bi_net,3,asymmetric,0.01,0.4428318418464645
sentimen_bi_net,3,asymmetric,0.31,0.4996399703833358
sentimen_bi_net,3,asymmetric,0.61,0.4996399703833358
