Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_bi_pos,2,0.01,0.01,0.4011209905420941
sentimen_bi_pos,2,0.01,0.31,0.386813374061028
sentimen_bi_pos,2,0.01,0.61,0.43308264570448746
sentimen_bi_pos,2,0.01,0.9099999999999999,0.3848344398534429
sentimen_bi_pos,2,0.01,symmetric,0.3848344398534428
sentimen_bi_pos,2,0.31,0.01,0.3855959795529461
sentimen_bi_pos,2,0.31,0.31,0.3855959795529461
sentimen_bi_pos,2,0.31,0.61,0.38559597955294606
sentimen_bi_pos,2,0.31,0.9099999999999999,0.3855959795529461
sentimen_bi_pos,2,0.31,symmetric,0.3855959795529461
sentimen_bi_pos,2,0.61,0.01,0.38559597955294606
sentimen_bi_pos,2,0.61,0.31,0.38559597955294606
sentimen_bi_pos,2,0.61,0.61,0.3900506426808334
sentimen_bi_pos,2,0.61,0.9099999999999999,0.39005064268083345
sentimen_bi_pos,2,0.61,symmetric,0.3846473134480147
sentimen_bi_pos,2,0.9099999999999999,0.01,0.3923389515812783
sentimen_bi_pos,2,0.9099999999999999,0.31,0.3923389515812783
sentimen_bi_pos,2,0.9099999999999999,0.61,0.38460364318764484
sentimen_bi_pos,2,0.9099999999999999,0.9099999999999999,0.39474235120464585
sentimen_bi_pos,2,0.9099999999999999,symmetric,0.39474235120464585
sentimen_bi_pos,2,symmetric,0.01,0.39011839289390404
sentimen_bi_pos,2,symmetric,0.31,0.3846473134480147
sentimen_bi_pos,2,symmetric,0.61,0.39005064268083345
sentimen_bi_pos,2,symmetric,0.9099999999999999,0.39005064268083345
sentimen_bi_pos,2,symmetric,symmetric,0.38559597955294606
sentimen_bi_pos,2,asymmetric,0.01,0.356588063604714
sentimen_bi_pos,2,asymmetric,0.31,0.36306238824843473
sentimen_bi_pos,2,asymmetric,0.61,0.36010726994620507
sentimen_bi_pos,2,asymmetric,0.9099999999999999,0.360107269946205
sentimen_bi_pos,2,asymmetric,symmetric,0.3630623882484346
sentimen_bi_pos,3,0.01,0.01,0.38697080399299294
sentimen_bi_pos,3,0.01,0.31,0.39047621112011077
sentimen_bi_pos,3,0.01,0.61,0.3902220426088428
sentimen_bi_pos,3,0.01,0.9099999999999999,0.3910432177521388
sentimen_bi_pos,3,0.01,symmetric,0.39056286172481186
sentimen_bi_pos,3,0.31,0.01,0.3694816455896243
sentimen_bi_pos,3,0.31,0.31,0.3820721250706464
sentimen_bi_pos,3,0.31,0.61,0.3682357610992481
sentimen_bi_pos,3,0.31,0.9099999999999999,0.37968595957299084
sentimen_bi_pos,3,0.31,symmetric,0.3820721250706463
sentimen_bi_pos,3,0.61,0.01,0.3587063446948848
sentimen_bi_pos,3,0.61,0.31,0.35907257114412516
sentimen_bi_pos,3,0.61,0.61,0.3600113075618275
sentimen_bi_pos,3,0.61,0.9099999999999999,0.37774932073838574
sentimen_bi_pos,3,0.61,symmetric,0.35907257114412516
sentimen_bi_pos,3,0.9099999999999999,0.01,0.37385039828460176
sentimen_bi_pos,3,0.9099999999999999,0.31,0.38130181130792407
sentimen_bi_pos,3,0.9099999999999999,0.61,0.382713160363592
sentimen_bi_pos,3,0.9099999999999999,0.9099999999999999,0.382713160363592
sentimen_bi_pos,3,0.9099999999999999,symmetric,0.381301811307924
sentimen_bi_pos,3,symmetric,0.01,0.3694816455896243
sentimen_bi_pos,3,symmetric,0.31,0.3709761613938074
sentimen_bi_pos,3,symmetric,0.61,0.38166889588982955
sentimen_bi_pos,3,symmetric,0.9099999999999999,0.3719465619152515
sentimen_bi_pos,3,symmetric,symmetric,0.38366057605370196
sentimen_bi_pos,3,asymmetric,0.01,0.35215062745033493
sentimen_bi_pos,3,asymmetric,0.31,0.34927399298001155
sentimen_bi_pos,3,asymmetric,0.61,0.3462826220682693
sentimen_bi_pos,3,asymmetric,0.9099999999999999,0.34560590820736187
sentimen_bi_pos,3,asymmetric,symmetric,0.35474002339415645
sentimen_bi_pos,4,0.01,0.01,0.34073126021308864
sentimen_bi_pos,4,0.01,0.31,0.34072022820688996
sentimen_bi_pos,4,0.01,0.61,0.34072022820689
sentimen_bi_pos,4,0.01,0.9099999999999999,0.33762634614190024
sentimen_bi_pos,4,0.01,symmetric,0.34073126021308864
sentimen_bi_pos,4,0.31,0.01,0.34425034438511753
sentimen_bi_pos,4,0.31,0.31,0.3486559819220448
sentimen_bi_pos,4,0.31,0.61,0.3486559819220447
sentimen_bi_pos,4,0.31,0.9099999999999999,0.33865359117428445
sentimen_bi_pos,4,0.31,symmetric,0.33545990858307506
sentimen_bi_pos,4,0.61,0.01,0.3619858485107359
sentimen_bi_pos,4,0.61,0.31,0.36198584851073595
sentimen_bi_pos,4,0.61,0.61,0.3619858485107359
sentimen_bi_pos,4,0.61,0.9099999999999999,0.3619858485107359
sentimen_bi_pos,4,0.61,symmetric,0.35841240089857035
sentimen_bi_pos,4,0.9099999999999999,0.01,0.36566910300802175
sentimen_bi_pos,4,0.9099999999999999,0.31,0.3597945041939028
sentimen_bi_pos,4,0.9099999999999999,0.61,0.35398490406801775
sentimen_bi_pos,4,0.9099999999999999,0.9099999999999999,0.3552212290536948
sentimen_bi_pos,4,0.9099999999999999,symmetric,0.3597945041939028
sentimen_bi_pos,4,symmetric,0.01,0.33436751514423635
sentimen_bi_pos,4,symmetric,0.31,0.33723787501906055
sentimen_bi_pos,4,symmetric,0.61,0.33723787501906055
sentimen_bi_pos,4,symmetric,0.9099999999999999,0.3372378750190605
sentimen_bi_pos,4,symmetric,symmetric,0.33723787501906055
sentimen_bi_pos,4,asymmetric,0.01,0.3231702135734815
sentimen_bi_pos,4,asymmetric,0.31,0.32381900413601133
sentimen_bi_pos,4,asymmetric,0.61,0.32853921459722935
sentimen_bi_pos,4,asymmetric,0.9099999999999999,0.314730732020934
sentimen_bi_pos,4,asymmetric,symmetric,0.32608110447680916
sentimen_bi_pos,5,0.01,0.01,0.3808149340526231
sentimen_bi_pos,5,0.01,0.31,0.3880964720696106
sentimen_bi_pos,5,0.01,0.61,0.38473873360691
sentimen_bi_pos,5,0.01,0.9099999999999999,0.3792584026414958
sentimen_bi_pos,5,0.01,symmetric,0.36660931783902034
sentimen_bi_pos,5,0.31,0.01,0.3848805006850939
sentimen_bi_pos,5,0.31,0.31,0.37004699523487955
sentimen_bi_pos,5,0.31,0.61,0.38293129573399654
sentimen_bi_pos,5,0.31,0.9099999999999999,0.37511416085398624
sentimen_bi_pos,5,0.31,symmetric,0.3787840077815025
sentimen_bi_pos,5,0.61,0.01,0.39179126744259696
sentimen_bi_pos,5,0.61,0.31,0.39192546223914004
sentimen_bi_pos,5,0.61,0.61,0.39064039638338033
sentimen_bi_pos,5,0.61,0.9099999999999999,0.38869911714499167
sentimen_bi_pos,5,0.61,symmetric,0.39153260037794146
sentimen_bi_pos,5,0.9099999999999999,0.01,0.34641462036375914
sentimen_bi_pos,5,0.9099999999999999,0.31,0.3943043255361665
sentimen_bi_pos,5,0.9099999999999999,0.61,0.40118135213556155
sentimen_bi_pos,5,0.9099999999999999,0.9099999999999999,0.39561389929160173
sentimen_bi_pos,5,0.9099999999999999,symmetric,0.39157218792212445
sentimen_bi_pos,5,symmetric,0.01,0.3938904192943517
sentimen_bi_pos,5,symmetric,0.31,0.3833322422110374
sentimen_bi_pos,5,symmetric,0.61,0.38293129573399665
sentimen_bi_pos,5,symmetric,0.9099999999999999,0.3775062583617113
