Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_tri_neg,2,0.01,0.01,0.3913333803205411
sentimen_tri_neg,2,0.01,0.31,0.3913333803205411
sentimen_tri_neg,2,0.01,0.61,0.3913333803205411
sentimen_tri_neg,2,0.01,0.9099999999999999,0.3913333803205411
sentimen_tri_neg,2,0.01,symmetric,0.3913333803205411
sentimen_tri_neg,2,0.31,0.01,0.390179749716139
sentimen_tri_neg,2,0.31,0.31,0.39409449830652754
sentimen_tri_neg,2,0.31,0.61,0.39409449830652754
sentimen_tri_neg,2,0.31,0.9099999999999999,0.39409449830652754
sentimen_tri_neg,2,0.31,symmetric,0.39409449830652754
sentimen_tri_neg,2,0.61,0.01,0.3901797497161389
sentimen_tri_neg,2,0.61,0.31,0.3901797497161389
sentimen_tri_neg,2,0.61,0.61,0.3940944983065276
sentimen_tri_neg,2,0.61,0.9099999999999999,0.3940944983065276
sentimen_tri_neg,2,0.61,symmetric,0.3901797497161389
sentimen_tri_neg,2,0.9099999999999999,0.01,0.3930181012344748
sentimen_tri_neg,2,0.9099999999999999,0.31,0.39533638796374915
sentimen_tri_neg,2,0.9099999999999999,0.61,0.39533638796374915
sentimen_tri_neg,2,0.9099999999999999,0.9099999999999999,0.3976010422062257
sentimen_tri_neg,2,0.9099999999999999,symmetric,0.39533638796374915
sentimen_tri_neg,2,symmetric,0.01,0.390179749716139
sentimen_tri_neg,2,symmetric,0.31,0.390179749716139
sentimen_tri_neg,2,symmetric,0.61,0.39409449830652754
sentimen_tri_neg,2,symmetric,0.9099999999999999,0.3940944983065276
sentimen_tri_neg,2,symmetric,symmetric,0.390179749716139
sentimen_tri_neg,2,asymmetric,0.01,0.3610946471213025
sentimen_tri_neg,2,asymmetric,0.31,0.36109464712130257
sentimen_tri_neg,2,asymmetric,0.61,0.36239406198978763
sentimen_tri_neg,2,asymmetric,0.9099999999999999,0.37864523969768726
sentimen_tri_neg,2,asymmetric,symmetric,0.36109464712130257
sentimen_tri_neg,3,0.01,0.01,0.3496133969846709
sentimen_tri_neg,3,0.01,0.31,0.34961339698467103
sentimen_tri_neg,3,0.01,0.61,0.34961339698467103
sentimen_tri_neg,3,0.01,0.9099999999999999,0.34961339698467103
sentimen_tri_neg,3,0.01,symmetric,0.34961339698467103
sentimen_tri_neg,3,0.31,0.01,0.35969349926970023
sentimen_tri_neg,3,0.31,0.31,0.35969349926970023
sentimen_tri_neg,3,0.31,0.61,0.3458686969149007
sentimen_tri_neg,3,0.31,0.9099999999999999,0.34873322112917743
sentimen_tri_neg,3,0.31,symmetric,0.35969349926970023
sentimen_tri_neg,3,0.61,0.01,0.35870304029822364
sentimen_tri_neg,3,0.61,0.31,0.35870304029822364
sentimen_tri_neg,3,0.61,0.61,0.3448828630634977
sentimen_tri_neg,3,0.61,0.9099999999999999,0.3941098174360671
sentimen_tri_neg,3,0.61,symmetric,0.35870304029822364
sentimen_tri_neg,3,0.9099999999999999,0.01,0.3644982404944807
sentimen_tri_neg,3,0.9099999999999999,0.31,0.35472716821418543
sentimen_tri_neg,3,0.9099999999999999,0.61,0.4076601486345885
sentimen_tri_neg,3,0.9099999999999999,0.9099999999999999,0.4053296003878632
sentimen_tri_neg,3,0.9099999999999999,symmetric,0.35472716821418543
sentimen_tri_neg,3,symmetric,0.01,0.35969349926970023
sentimen_tri_neg,3,symmetric,0.31,0.35968887414962664
sentimen_tri_neg,3,symmetric,0.61,0.34363720029396877
sentimen_tri_neg,3,symmetric,0.9099999999999999,0.3491176256571233
sentimen_tri_neg,3,symmetric,symmetric,0.35968887414962664
sentimen_tri_neg,3,asymmetric,0.01,0.3967919948977919
sentimen_tri_neg,3,asymmetric,0.31,0.368462946326601
sentimen_tri_neg,3,asymmetric,0.61,0.35798311998989146
sentimen_tri_neg,3,asymmetric,0.9099999999999999,0.3556169389666399
sentimen_tri_neg,3,asymmetric,symmetric,0.3620335033787245
sentimen_tri_neg,4,0.01,0.01,0.39664928546119665
sentimen_tri_neg,4,0.01,0.31,0.37605046150690447
sentimen_tri_neg,4,0.01,0.61,0.37605046150690447
sentimen_tri_neg,4,0.01,0.9099999999999999,0.3665445168817282
sentimen_tri_neg,4,0.01,symmetric,0.37605046150690447
sentimen_tri_neg,4,0.31,0.01,0.3983973097619776
sentimen_tri_neg,4,0.31,0.31,0.3722184093245
sentimen_tri_neg,4,0.31,0.61,0.37221840932449995
sentimen_tri_neg,4,0.31,0.9099999999999999,0.3824027318897214
sentimen_tri_neg,4,0.31,symmetric,0.3722184093245
sentimen_tri_neg,4,0.61,0.01,0.40802770741117456
sentimen_tri_neg,4,0.61,0.31,0.376259805019475
sentimen_tri_neg,4,0.61,0.61,0.3762598050194749
sentimen_tri_neg,4,0.61,0.9099999999999999,0.3794725960029432
sentimen_tri_neg,4,0.61,symmetric,0.3808389862398841
sentimen_tri_neg,4,0.9099999999999999,0.01,0.35504814855164973
sentimen_tri_neg,4,0.9099999999999999,0.31,0.38093870148127545
sentimen_tri_neg,4,0.9099999999999999,0.61,0.3720853518556451
sentimen_tri_neg,4,0.9099999999999999,0.9099999999999999,0.3757316590257648
sentimen_tri_neg,4,0.9099999999999999,symmetric,0.38170835060441466
sentimen_tri_neg,4,symmetric,0.01,0.41355298445748634
sentimen_tri_neg,4,symmetric,0.31,0.41291512451180395
sentimen_tri_neg,4,symmetric,0.61,0.3958791881963424
sentimen_tri_neg,4,symmetric,0.9099999999999999,0.3958791881963424
sentimen_tri_neg,4,symmetric,symmetric,0.41291512451180395
sentimen_tri_neg,4,asymmetric,0.01,0.39072440346727155
sentimen_tri_neg,4,asymmetric,0.31,0.3967157384730838
sentimen_tri_neg,4,asymmetric,0.61,0.3863926530557156
sentimen_tri_neg,4,asymmetric,0.9099999999999999,0.3988275727683923
sentimen_tri_neg,4,asymmetric,symmetric,0.38598956275111573
sentimen_tri_neg,5,0.01,0.01,0.4082461217275835
sentimen_tri_neg,5,0.01,0.31,0.4268740024960283
sentimen_tri_neg,5,0.01,0.61,0.40674848848686873
sentimen_tri_neg,5,0.01,0.9099999999999999,0.4218181747509401
sentimen_tri_neg,5,0.01,symmetric,0.40824612172758357
sentimen_tri_neg,5,0.31,0.01,0.33039118518053223
sentimen_tri_neg,5,0.31,0.31,0.33892997349912174
sentimen_tri_neg,5,0.31,0.61,0.33892997349912174
sentimen_tri_neg,5,0.31,0.9099999999999999,0.3360773793360201
sentimen_tri_neg,5,0.31,symmetric,0.33751195090080155
sentimen_tri_neg,5,0.61,0.01,0.36090908885258166
sentimen_tri_neg,5,0.61,0.31,0.3421990395756335
sentimen_tri_neg,5,0.61,0.61,0.3371646295408565
sentimen_tri_neg,5,0.61,0.9099999999999999,0.3407577118579473
sentimen_tri_neg,5,0.61,symmetric,0.3566284021417213
sentimen_tri_neg,5,0.9099999999999999,0.01,0.37327537848349146
sentimen_tri_neg,5,0.9099999999999999,0.31,0.36470945684657385
sentimen_tri_neg,5,0.9099999999999999,0.61,0.337539166141611
sentimen_tri_neg,5,0.9099999999999999,0.9099999999999999,0.37411340321275494
sentimen_tri_neg,5,0.9099999999999999,symmetric,0.3644915770575591
sentimen_tri_neg,5,symmetric,0.01,0.4026313660059471
sentimen_tri_neg,5,symmetric,0.31,0.40971273480133785
sentimen_tri_neg,5,symmetric,0.61,0.41166694292657846
sentimen_tri_neg,5,symmetric,0.9099999999999999,0.41757616381870905
sentimen_tri_neg,5,symmetric,symmetric,0.4047348462883729
sentimen_tri_neg,5,asymmetric,0.01,0.4352461919473007
sentimen_tri_neg,5,asymmetric,0.31,0.41415474378739514
sentimen_tri_neg,5,asymmetric,0.61,0.4116064415151441
sentimen_tri_neg,5,asymmetric,0.9099999999999999,0.35593979950580534
sentimen_tri_neg,5,asymmetric,symmetric,0.41415474378739503
sentimen_tri_neg,6,0.01,0.01,0.39548233917339054
sentimen_tri_neg,6,0.01,0.31,0.36654330785697464
sentimen_tri_neg,6,0.01,0.61,0.361777356174316
sentimen_tri_neg,6,0.01,0.9099999999999999,0.38270469408527447
sentimen_tri_neg,6,0.01,symmetric,0.35160176114290626
sentimen_tri_neg,6,0.31,0.01,0.36825252703595196
sentimen_tri_neg,6,0.31,0.31,0.36376093069170895
sentimen_tri_neg,6,0.31,0.61,0.3640540379231663
sentimen_tri_neg,6,0.31,0.9099999999999999,0.36442269082688855
sentimen_tri_neg,6,0.31,symmetric,0.3615718648862429
sentimen_tri_neg,6,0.61,0.01,0.3393745901503422
sentimen_tri_neg,6,0.61,0.31,0.343805067804647
sentimen_tri_neg,6,0.61,0.61,0.32714200710080504
sentimen_tri_neg,6,0.61,0.9099999999999999,0.34583632790463376
sentimen_tri_neg,6,0.61,symmetric,0.34260973281791124
