Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_tri_net,2,0.01,0.01,0.5520778930676034
sentimen_tri_net,2,0.01,0.31,0.5196203570971419
sentimen_tri_net,2,0.01,0.61,0.5572741551199304
sentimen_tri_net,2,0.01,0.9099999999999999,0.5572741551199304
sentimen_tri_net,2,0.01,symmetric,0.5314880959144151
sentimen_tri_net,2,0.31,0.01,0.46598832539794094
sentimen_tri_net,2,0.31,0.31,0.37407376213991383
sentimen_tri_net,2,0.31,0.61,0.38279806129324107
sentimen_tri_net,2,0.31,0.9099999999999999,0.3733981274255004
sentimen_tri_net,2,0.31,symmetric,0.3776400884294623
sentimen_tri_net,2,0.61,0.01,0.5586404906656146
sentimen_tri_net,2,0.61,0.31,0.5558440977277412
sentimen_tri_net,2,0.61,0.61,0.5247369260499877
sentimen_tri_net,2,0.61,0.9099999999999999,0.5105403673676938
sentimen_tri_net,2,0.61,symmetric,0.5586307149928589
sentimen_tri_net,2,0.9099999999999999,0.01,0.5675153654145839
sentimen_tri_net,2,0.9099999999999999,0.31,0.5300048487687776
sentimen_tri_net,2,0.9099999999999999,0.61,0.5300048487687776
sentimen_tri_net,2,0.9099999999999999,0.9099999999999999,0.5247369260499877
sentimen_tri_net,2,0.9099999999999999,symmetric,0.5247369260499877
sentimen_tri_net,2,symmetric,0.01,0.41248790337206187
sentimen_tri_net,2,symmetric,0.31,0.5247369260499876
sentimen_tri_net,2,symmetric,0.61,0.3744686906525384
sentimen_tri_net,2,symmetric,0.9099999999999999,0.2999047788355298
sentimen_tri_net,2,symmetric,symmetric,0.5603060049256267
sentimen_tri_net,2,asymmetric,0.01,0.45978358072491
sentimen_tri_net,2,asymmetric,0.31,0.5432216152857368
sentimen_tri_net,2,asymmetric,0.61,0.568735602368571
sentimen_tri_net,2,asymmetric,0.9099999999999999,0.5717415907023913
sentimen_tri_net,2,asymmetric,symmetric,0.5343460702093128
sentimen_tri_net,3,0.01,0.01,0.49695825868440124
sentimen_tri_net,3,0.01,0.31,0.5063192610423938
sentimen_tri_net,3,0.01,0.61,0.47741297351311635
sentimen_tri_net,3,0.01,0.9099999999999999,0.49996614877338486
sentimen_tri_net,3,0.01,symmetric,0.4842685356928867
sentimen_tri_net,3,0.31,0.01,0.5176361392576286
sentimen_tri_net,3,0.31,0.31,0.5104203566253545
sentimen_tri_net,3,0.31,0.61,0.5252015692741442
sentimen_tri_net,3,0.31,0.9099999999999999,0.4998780892274432
sentimen_tri_net,3,0.31,symmetric,0.5104203566253545
sentimen_tri_net,3,0.61,0.01,0.48405086148313714
sentimen_tri_net,3,0.61,0.31,0.5105837190857837
sentimen_tri_net,3,0.61,0.61,0.5126105604557167
