Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_tri_pos,2,0.01,0.01,0.5045828730811414
sentimen_tri_pos,2,0.01,0.31,0.49785512640824797
sentimen_tri_pos,2,0.01,0.61,0.49785512640824797
sentimen_tri_pos,2,0.01,0.9099999999999999,0.497855126408248
sentimen_tri_pos,2,0.01,symmetric,0.49785512640824797
sentimen_tri_pos,2,0.31,0.01,0.5082118330138703
sentimen_tri_pos,2,0.31,0.31,0.5145021400811922
sentimen_tri_pos,2,0.31,0.61,0.5145021400811922
sentimen_tri_pos,2,0.31,0.9099999999999999,0.5145021400811922
sentimen_tri_pos,2,0.31,symmetric,0.5145021400811922
sentimen_tri_pos,2,0.61,0.01,0.49784185965642735
sentimen_tri_pos,2,0.61,0.31,0.49784185965642735
sentimen_tri_pos,2,0.61,0.61,0.4574409140332648
sentimen_tri_pos,2,0.61,0.9099999999999999,0.49784185965642735
sentimen_tri_pos,2,0.61,symmetric,0.49784185965642735
sentimen_tri_pos,2,0.9099999999999999,0.01,0.49784185965642735
sentimen_tri_pos,2,0.9099999999999999,0.31,0.49784185965642735
sentimen_tri_pos,2,0.9099999999999999,0.61,0.49784185965642735
sentimen_tri_pos,2,0.9099999999999999,0.9099999999999999,0.49784185965642735
sentimen_tri_pos,2,0.9099999999999999,symmetric,0.49784185965642735
sentimen_tri_pos,2,symmetric,0.01,0.4945218218011017
sentimen_tri_pos,2,symmetric,0.31,0.49304629120872023
sentimen_tri_pos,2,symmetric,0.61,0.49304629120872023
sentimen_tri_pos,2,symmetric,0.9099999999999999,0.49304629120872023
sentimen_tri_pos,2,symmetric,symmetric,0.49304629120872023
sentimen_tri_pos,2,asymmetric,0.01,0.5274918391469862
sentimen_tri_pos,2,asymmetric,0.31,0.5287297094244623
sentimen_tri_pos,2,asymmetric,0.61,0.541809079180794
sentimen_tri_pos,2,asymmetric,0.9099999999999999,0.5372148452222862
sentimen_tri_pos,2,asymmetric,symmetric,0.5371554050637113
sentimen_tri_pos,3,0.01,0.01,0.483802512641087
sentimen_tri_pos,3,0.01,0.31,0.48028495944001987
sentimen_tri_pos,3,0.01,0.61,0.4792819231345531
sentimen_tri_pos,3,0.01,0.9099999999999999,0.4789135820949177
sentimen_tri_pos,3,0.01,symmetric,0.48028495944001987
sentimen_tri_pos,3,0.31,0.01,0.4799580663542393
sentimen_tri_pos,3,0.31,0.31,0.475357567198397
sentimen_tri_pos,3,0.31,0.61,0.4739719036648546
sentimen_tri_pos,3,0.31,0.9099999999999999,0.4729971814222084
sentimen_tri_pos,3,0.31,symmetric,0.465309046869299
sentimen_tri_pos,3,0.61,0.01,0.4384432032899148
sentimen_tri_pos,3,0.61,0.31,0.49347002895398534
sentimen_tri_pos,3,0.61,0.61,0.4640463050174178
sentimen_tri_pos,3,0.61,0.9099999999999999,0.4953642965537921
sentimen_tri_pos,3,0.61,symmetric,0.4767023018852719
sentimen_tri_pos,3,0.9099999999999999,0.01,0.46037679277127186
sentimen_tri_pos,3,0.9099999999999999,0.31,0.4794765263948526
sentimen_tri_pos,3,0.9099999999999999,0.61,0.4638329670309456
sentimen_tri_pos,3,0.9099999999999999,0.9099999999999999,0.47599017619161693
sentimen_tri_pos,3,0.9099999999999999,symmetric,0.47947652639485266
sentimen_tri_pos,3,symmetric,0.01,0.4868636417970356
sentimen_tri_pos,3,symmetric,0.31,0.48896911764881407
sentimen_tri_pos,3,symmetric,0.61,0.47149295850976397
sentimen_tri_pos,3,symmetric,0.9099999999999999,0.4801395007439327
sentimen_tri_pos,3,symmetric,symmetric,0.49169023173549126
sentimen_tri_pos,3,asymmetric,0.01,0.43485085856804645
sentimen_tri_pos,3,asymmetric,0.31,0.4294242494923517
sentimen_tri_pos,3,asymmetric,0.61,0.439210756962317
sentimen_tri_pos,3,asymmetric,0.9099999999999999,0.44618007328697745
sentimen_tri_pos,3,asymmetric,symmetric,0.4294242494923517
sentimen_tri_pos,4,0.01,0.01,0.45635565889212315
sentimen_tri_pos,4,0.01,0.31,0.4691751717864128
sentimen_tri_pos,4,0.01,0.61,0.46850340202632473
sentimen_tri_pos,4,0.01,0.9099999999999999,0.4570778119987644
sentimen_tri_pos,4,0.01,symmetric,0.4691751717864129
sentimen_tri_pos,4,0.31,0.01,0.48803837948335993
sentimen_tri_pos,4,0.31,0.31,0.47360602996877754
sentimen_tri_pos,4,0.31,0.61,0.4369810742786513
sentimen_tri_pos,4,0.31,0.9099999999999999,0.49274376378542234
sentimen_tri_pos,4,0.31,symmetric,0.48225584348556827
sentimen_tri_pos,4,0.61,0.01,0.48765679842420334
sentimen_tri_pos,4,0.61,0.31,0.49892552725223543
sentimen_tri_pos,4,0.61,0.61,0.49759014426121606
sentimen_tri_pos,4,0.61,0.9099999999999999,0.4927586359278877
sentimen_tri_pos,4,0.61,symmetric,0.49566591990989023
sentimen_tri_pos,4,0.9099999999999999,0.01,0.4841249880973471
sentimen_tri_pos,4,0.9099999999999999,0.31,0.4809550074525294
sentimen_tri_pos,4,0.9099999999999999,0.61,0.4958805844351616
sentimen_tri_pos,4,0.9099999999999999,0.9099999999999999,0.4911885500608356
sentimen_tri_pos,4,0.9099999999999999,symmetric,0.4809550074525294
sentimen_tri_pos,4,symmetric,0.01,0.4591089648674557
sentimen_tri_pos,4,symmetric,0.31,0.460850978134586
sentimen_tri_pos,4,symmetric,0.61,0.4707947894758501
sentimen_tri_pos,4,symmetric,0.9099999999999999,0.47129695821409023
sentimen_tri_pos,4,symmetric,symmetric,0.4730081205447577
sentimen_tri_pos,4,asymmetric,0.01,0.4586933585132097
